City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,57.79,11.73,87,100,2.57,US,1726346154
1,carupano,10.6678,10.6678,30.41,70,33,3.36,VE,1726346624
2,udachny,66.4167,66.4167,0.49,89,100,5.09,RU,1726346625
3,richards bay,-28.783,-28.783,19.2,80,100,1.96,ZA,1726346269
4,waitangi,-43.9535,-43.9535,8.79,95,100,6.71,NZ,1726346628
5,bethel,41.3712,41.3712,28.05,59,40,4.12,US,1726346630
6,stanley,54.868,54.868,14.04,78,40,5.66,GB,1726346631
7,ushuaia,-54.8,-54.8,5.81,65,75,5.66,AR,1726346621
8,blackmans bay,-43.0167,-43.0167,5.07,82,61,3.25,AU,1726346634
9,anadyr,64.75,64.75,7.28,93,100,5.0,RU,1726346350
10,atafu village,-8.5421,-8.5421,28.64,74,98,6.7,TK,1726346638
11,port-aux-francais,-49.35,-49.35,3.1,93,100,14.58,TF,1726346639
12,saipan,15.1355,15.1355,27.39,83,40,4.12,MP,1726346641
13,enewetak,11.3474,11.3474,28.95,77,99,7.04,MH,1726346172
14,namibe,-15.1961,-15.1961,18.62,88,86,2.27,AO,1726346646
15,weatherford,32.7593,32.7593,34.89,58,100,1.79,US,1726346549
16,albany,42.6001,42.6001,29.36,54,0,0.45,US,1726346387
17,kununurra,-15.7667,-15.7667,15.99,63,88,0.0,AU,1726346650
18,adamstown,-25.066,-25.066,19.59,61,100,5.69,PN,1726346651
19,tolanaro,-25.0319,-25.0319,20.04,88,20,10.29,MG,1726346653
20,aby,58.6667,58.6667,10.17,79,0,1.43,SE,1726346654
21,afaahiti,-17.75,-17.75,24.19,86,69,6.03,PF,1726346655
22,kincardine,56.0667,56.0667,15.15,86,100,8.1,GB,1726346657
23,puerto natales,-51.7236,-51.7236,8.25,79,75,10.8,CL,1726346658
24,grytviken,-54.2811,-54.2811,-1.65,80,57,5.78,GS,1726346660
25,anloga,5.7947,5.7947,24.86,90,100,5.66,GH,1726346661
26,iqaluit,63.7506,63.7506,10.85,62,40,7.72,CA,1726346177
27,port elizabeth,-33.918,-33.918,17.4,93,93,0.45,ZA,1726346483
28,qaqortoq,60.7167,60.7167,5.01,91,100,1.32,GL,1726346666
29,san patricio,28.017,28.017,33.97,49,100,6.08,US,1726346230
30,port douglas,-16.4833,-16.4833,22.69,82,78,6.37,AU,1726346670
